-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 05/14/2026 in LST
Location: latitude  23.8103   longitude 90.4125 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M
1981,1,1,18.63,26.32,12.24,55.22,0.0,1.49
1981,1,2,19.06,25.86,13.72,51.12,0.0,0.93
1981,1,3,19.22,25.98,13.49,55.75,0.0,0.9
1981,1,4,19.11,26.09,13.64,53.51,0.0,1.34
1981,1,5,19.87,26.82,13.46,58.67,0.03,1.07
1981,1,6,20.63,26.3,15.14,71.02,1.22,1.18
1981,1,7,19.68,26.15,15.63,82.04,7.58,2.01
1981,1,8,17.69,24.17,12.73,71.5,1.94,1.78
1981,1,9,16.31,23.38,10.37,62.73,0.09,1.63
1981,1,10,16.67,24.77,10.16,60.14,0.0,1.19
1981,1,11,17.67,25.84,10.36,66.59,0.0,1.26
1981,1,12,18.71,25.38,13.74,67.11,0.28,1.78
1981,1,13,19.66,26.15,14.93,69.56,1.22,1.89
1981,1,14,19.07,26.08,14.18,68.72,2.45,1.98
1981,1,15,19.31,27.24,12.99,66.47,0.03,1.55
1981,1,16,19.75,28.39,12.2,62.01,0.0,1.34
1981,1,17,20.62,28.56,13.66,51.71,0.0,0.99
1981,1,18,20.1,27.89,14.11,51.91,0.0,1.02
1981,1,19,19.26,27.04,12.39,54.02,0.0,1.17
1981,1,20,19.61,26.91,14.4,50.85,0.0,1.23
1981,1,21,19.38,26.7,12.9,51.62,0.0,1.15
1981,1,22,19.48,26.31,12.55,51.81,0.0,1.16
1981,1,23,20.7,27.5,13.87,48.93,0.0,1.17
1981,1,24,20.73,28.63,14.18,56.68,0.54,1.25
1981,1,25,19.95,27.94,12.99,62.49,0.36,1.95
1981,1,26,20.33,27.64,14.07,66.56,16.42,1.94
1981,1,27,19.91,27.84,13.85,59.79,0.0,1.85
1981,1,28,19.32,26.93,13.2,55.13,0.15,1.48
1981,1,29,19.15,26.14,13.25,51.07,0.0,1.21
1981,1,30,20.26,27.63,12.66,52.34,0.01,1.62
1981,1,31,22.02,29.16,15.02,68.71,0.88,1.46
1981,2,1,21.05,26.19,16.58,78.31,13.73,1.76
1981,2,2,20.7,27.88,15.14,66.12,0.01,1.81
1981,2,3,18.87,26.36,12.99,56.81,0.04,1.97
1981,2,4,18.37,26.11,11.2,55.62,0.0,1.49
1981,2,5,19.59,27.18,12.34,56.46,0.0,1.5
1981,2,6,21.15,29.03,13.13,51.74,0.0,1.49
1981,2,7,23.24,31.49,15.76,45.24,0.0,1.34
1981,2,8,23.03,30.82,16.95,51.72,0.34,1.33
1981,2,9,21.49,30.57,15.0,57.07,0.11,2.33
1981,2,10,17.98,21.27,15.61,80.67,15.56,1.65
1981,2,11,18.51,23.88,12.3,70.47,0.98,2.08
1981,2,12,19.16,25.46,12.94,55.11,0.0,0.94
1981,2,13,18.91,26.24,11.6,55.33,0.0,1.43
1981,2,14,20.58,27.92,12.3,51.31,0.0,1.28
1981,2,15,21.75,30.25,13.02,46.11,0.0,1.49
1981,2,16,22.59,31.49,14.25,55.04,0.0,1.74
1981,2,17,23.59,31.75,16.9,47.8,0.01,1.66
1981,2,18,23.11,30.43,16.56,39.31,0.0,1.51
1981,2,19,22.08,30.39,13.45,36.61,0.0,1.31
1981,2,20,21.68,29.71,12.53,41.39,0.0,1.11
1981,2,21,22.88,30.63,14.36,39.34,0.01,1.16
1981,2,22,23.56,31.22,15.8,34.89,0.0,1.07
1981,2,23,23.72,31.72,15.4,33.17,0.0,1.03
1981,2,24,23.73,32.19,15.03,35.28,0.0,1.22
1981,2,25,24.3,33.31,15.09,39.72,0.0,1.35
1981,2,26,25.07,34.82,15.56,49.91,0.0,1.69
1981,2,27,25.55,34.8,17.53,49.56,0.0,1.8
1981,2,28,25.77,34.98,17.93,46.39,0.0,2.34
1981,3,1,26.6,35.55,18.69,62.08,0.09,2.51
1981,3,2,26.26,34.7,19.16,55.57,0.0,2.02
1981,3,3,25.35,33.74,18.68,44.65,0.04,1.69
1981,3,4,23.86,32.89,14.34,34.05,0.02,1.53
1981,3,5,23.78,32.41,14.87,35.29,0.0,1.35
1981,3,6,25.3,33.29,15.84,34.1,0.07,0.93
1981,3,7,26.0,34.24,17.98,49.19,0.0,1.69
1981,3,8,26.96,36.33,17.99,48.02,0.22,2.56
1981,3,9,27.13,35.63,20.24,47.37,0.02,1.91
1981,3,10,26.12,32.52,20.6,40.35,0.11,1.48
1981,3,11,26.92,35.04,19.71,46.12,0.28,1.97
1981,3,12,26.42,32.46,19.69,57.85,6.12,1.39
1981,3,13,25.69,29.76,21.85,60.12,4.09,0.91
1981,3,14,25.46,31.65,19.73,55.32,2.27,0.97
1981,3,15,25.39,32.48,18.63,54.58,3.58,1.13
1981,3,16,25.81,33.1,19.58,49.84,0.1,2.08
1981,3,17,25.05,32.53,17.93,52.42,0.19,2.17
1981,3,18,26.38,34.5,17.97,44.69,0.14,1.86
1981,3,19,27.63,35.74,18.94,35.58,0.02,1.02
1981,3,20,28.21,36.59,19.97,40.08,0.0,1.45
1981,3,21,27.15,33.48,22.01,55.51,0.0,1.96
1981,3,22,28.54,36.44,21.97,47.66,0.0,2.48
1981,3,23,27.96,35.77,20.14,50.46,0.79,2.51
1981,3,24,28.22,35.59,22.15,56.79,3.35,1.95
1981,3,25,25.97,32.42,20.29,61.05,0.96,1.74
1981,3,26,24.16,28.44,19.82,62.26,9.23,0.95
1981,3,27,24.66,30.2,18.62,59.56,6.71,1.82
1981,3,28,25.44,32.02,18.75,62.36,3.18,2.01
1981,3,29,26.87,34.16,19.53,62.27,0.39,1.73
