Model,Variable,Unit,MAE,RMSE,R2,MAPE
Linear Regression,T2M,°C,0.5681,0.7579,0.971,2.39
Linear Regression,T2M_MAX,°C,0.8686,1.1652,0.911,2.91
Linear Regression,T2M_MIN,°C,0.6101,0.8459,0.9765,3.56
Linear Regression,RH2M,%,3.187,4.4137,0.8954,4.53
Linear Regression,PRECTOTCORR,mm/day,5.1093,11.0501,0.3633,626.47
Linear Regression,WS2M,m/s,0.3994,0.5672,0.6097,24.84
Random Forest,T2M,°C,0.5957,0.7833,0.969,2.51
Random Forest,T2M_MAX,°C,0.9112,1.2149,0.9033,3.09
Random Forest,T2M_MIN,°C,0.5858,0.8001,0.9789,3.32
Random Forest,RH2M,%,3.3402,4.637,0.8845,4.75
Random Forest,PRECTOTCORR,mm/day,5.1455,10.9447,0.3754,591.19
Random Forest,WS2M,m/s,0.4118,0.5797,0.5924,26.26
MLP,T2M,°C,0.5573,0.7372,0.9725,2.33
MLP,T2M_MAX,°C,0.8573,1.1536,0.9128,2.91
MLP,T2M_MIN,°C,0.5492,0.758,0.9811,3.08
MLP,RH2M,%,3.0936,4.3059,0.9004,4.4
MLP,PRECTOTCORR,mm/day,5.5871,10.5931,0.4149,1122.69
MLP,WS2M,m/s,0.3867,0.5535,0.6283,23.29
LSTM,T2M,°C,0.5709,0.7522,0.9714,2.41
LSTM,T2M_MAX,°C,0.8874,1.1796,0.9088,3.02
LSTM,T2M_MIN,°C,0.564,0.7739,0.9803,3.2
LSTM,RH2M,%,3.1513,4.329,0.8993,4.47
LSTM,PRECTOTCORR,mm/day,5.2451,10.6441,0.4092,859.9
LSTM,WS2M,m/s,0.3847,0.5509,0.6318,22.97
QML (Ours),T2M,°C,0.5791,0.7531,0.9713,2.41
QML (Ours),T2M_MAX,°C,0.8663,1.1584,0.9121,2.91
QML (Ours),T2M_MIN,°C,0.5738,0.7815,0.9799,3.21
QML (Ours),RH2M,%,3.1549,4.3459,0.8985,4.49
QML (Ours),PRECTOTCORR,mm/day,5.595,10.7835,0.3937,1109.47
QML (Ours),WS2M,m/s,0.3842,0.5547,0.6267,22.9
